,count,mean,std,min,25%,50%,75%,max,mode,skewness,kurtosis
adak_index,12000.0,-73.5733,48.6447,-99.4624,-93.8697,-87.3016,-69.8113,1605.0505,-88.4058,11.9735,285.1411
adak_ss,12000.0,-77.4123,38.7384,-99.4644,-94.2183,-88.2823,-73.1669,1538.1923,-89.3044,15.0761,497.717
lsa_index,12000.0,-1.6245,0.9322,-4.4215,-2.2267,-1.6094,-1.0073,2.7459,-1.4791,0.02,0.1688
codebert_score,12000.0,0.9597,0.0266,0.8239,0.9477,0.9678,0.9779,0.9996,0.9756,-1.3566,1.891
mcv,12000.0,3.5603,5.5567,0.8,0.8,2.4,4.0,195.2,0.8,10.9372,249.6134
sfv,12000.0,22.3506,20.9026,1.5,9.3,15.0,27.3,151.8,6.9,2.4506,7.3131
code_token_length,12000.0,97.3067,84.1026,16.0,42.0,67.0,119.0,512.0,25.0,2.1062,4.8299
